,sentence
4,Is that more people?
8,Is it more people?
341,How is the fee calculated?
344,How does Obvion determine the comparative interest?
345,Over which period is the compensation calculated?
346,How does Obvion determine the interest rate differential?
347,How does Obvion calculate the present value?
359, 2: How does Obvion determine the comparative interest?
379, 3: Over which period is the compensation calculated?
386, 4: How does Obvion determine the interest rate differential?
405, 5: How does Obvion calculate the present value?
