,sentence
209,"For example, for the deposit for the Savings Account SpaarGerust?"
398," Is the loan component on which you make additional repayments a SpaarGerust, a Spaar, a SpaarGarant or a Switch mortgage that involves savings?"
399," With a SpaarGerust, a Spaar, SpaarGarant or Switch mortgage, no  repaid monthly on the loan."
400,You deposit an amount every month on your SpaarGerust Account or your insurance linked to your SpaarGarrant or SpaarGarant Switch mortgage.
401,"In addition, your current interest on the accrued interest is calculated on a monthly basis savings balance reimbursed and credited to the balance of your SpaarGerust account or your insurance linked to your Spaar-, SpaarGarant- or Switch mortgage."
402,"In front of the calculation of the compensation is the movement of the debt less the accrued savings value of your SpaarGerust, your Spaar, your SpaarGarant or Switch mortgage therefore equal to the movement of the debt balance of an identical Annuity Mortgage."
404,"   An example of the calculation of the reimbursement for a SpaarGerust, a Spaar, a You can find SpaarGarant or a Switch mortgage that involves savings at obvion.nl/ compensation."
770,The SpaarGerust mortgage consists of a loan component and a bank savings account of  Cooperative Rabobank U.A.
771,(hereinafter referred to as: Bank savings account SpaarGerust).
772,"The balance on the Savings Account SpaarGerust has been (re)pledged on the basis of the  “agreement of security construction” between you, Obvion and Coöperatieve Rabobank U.A.  3."
774,And also the agreement for the Savings Account SpaarGerust.
776,The term of the Savings Account SpaarGerust is equal to the term of the loan  part of the SpaarGerust mortgage.
777,A fixed-interest period of one month is not possible with the SpaarGerusthypotheek.
778,"The loan part of the SpaarGerust mortgage must be  amount to a minimum of € 20,000."
779,The amount of the loan component of the SpaarGerust mortgage must always be equal to  the target capital of the Savings Account SpaarGerust.
780,"If the target capital of the Bank's savings account SpaarGerust is reduced, is part of the loan part of the SpaarGerust mortgage due and payable."
783,"The target capital is the amount that the account holder must build up, to pay the loan part of the SpaarGerust mortgage on the end date of the repayment term."
784,"When the target capital of the Savings Account SpaarGerust has been reached, the loan portion is  of the SpaarGerust mortgage is fully due and payable."
787,The account holder of the Savings Account SpaarGerust is always (one of) the borrower(s).
796,"If (one of) the account holder(s) of the Savings Account SpaarGerust dies, part of the loan portion of the SpaarGerust mortgage is due and payable."
798,In the agreement of the Bank Savings Account SpaarGerust states what amount is used for repayment of the loan part of the loan SpaarGerust mortgage in the event of the death of the relevant account holder.
813,A fixed-interest period of one month is not possible with the Spaarhypotheek.
828,A fixed-interest period of one month is not possible with the Spaarhypotheek.
834, The following provisions apply to SpaarGarant mortgages for which before 1 October 2010 a quote has been requested.
836,The SpaarGarant mortgage consists of a loan component and the SpaarGarant insurance.
838,The term of this Savings Guarantee Insurance is equal to the term of the loan component  of the SpaarGaranthypotheek.
839,The SpaarGarant insurance is taken out with the insurer stated in the offer.
842,A fixed-interest period of one month is not possible with the SpaarGaranthypotheek.
